unit,mean,std,n,individual_ratings
Cameroon,2.7,1.0222,30,"[3, 3, 3, 4, 3, 3, 3, 3, 4, 1, 4, 2, 3, 3, 2, 3, 2, 1, 2, 1, 4, 3, 5, 3, 1, 3, 3, 1, 2, 3]"
Canada,2.6207,0.9029,29,"[1, 3, 3, 3, 2, 3, 3, 3, 1, 1, 4, 5, 3, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 2, 1, 3]"
Candace,2.6897,1.0725,29,"[1, 3, 3, 1, 1, 3, 3, 5, 2, 3, 1, 5, 3, 2, 3, 4, 3, 3, 2, 3, 2, 2, 3, 3, 1, 3, 4, 3, 3]"
Cape of Good Hope,3.4,1.0034,30,"[4, 3, 2, 5, 3, 1, 4, 3, 4, 4, 4, 4, 4, 3, 3, 1, 5, 5, 4, 3, 3, 4, 4, 4, 2, 3, 3, 3, 4, 3]"
Captain James Cook,2.931,1.1932,29,"[1, 3, 3, 4, 4, 3, 3, 4, 2, 3, 2, 5, 3, 2, 4, 4, 1, 4, 4, 4, 1, 5, 3, 3, 1, 2, 3, 1, 3]"
Capture the Flag,3.931,0.9232,29,"[3, 4, 5, 3, 4, 3, 5, 3, 4, 3, 4, 4, 3, 4, 1, 5, 4, 4, 5, 3, 4, 5, 5, 4, 4, 4, 5, 5, 4]"
Carl Maria von Weber,2.6333,0.9643,30,"[4, 3, 2, 4, 3, 1, 3, 1, 3, 3, 4, 2, 2, 3, 3, 1, 1, 3, 2, 4, 3, 3, 2, 3, 2, 3, 3, 3, 4, 1]"
Carolyn,2.7333,1.1121,30,"[1, 3, 3, 2, 1, 3, 3, 5, 2, 3, 1, 4, 3, 3, 3, 4, 3, 3, 2, 3, 4, 1, 3, 3, 1, 3, 3, 5, 1, 3]"
Catherine,2.8333,1.1472,30,"[1, 3, 3, 5, 1, 3, 3, 5, 3, 3, 1, 4, 3, 3, 3, 4, 3, 3, 1, 3, 2, 3, 3, 3, 1, 3, 3, 5, 1, 3]"
Catherine de Medici,3.0,0.9847,34,"[3, 3, 2, 4, 4, 3, 5, 1, 2, 3, 4, 3, 2, 4, 4, 3, 1, 3, 3, 1, 3, 3, 3, 3, 4, 4, 3, 4, 1, 4, 3, 3, 3, 3]"
Cathy,2.2667,1.0148,30,"[3, 1, 3, 4, 3, 3, 3, 3, 3, 1, 4, 2, 3, 3, 1, 1, 2, 1, 1, 1, 2, 3, 3, 3, 1, 2, 3, 1, 1, 3]"
Celia,2.6667,0.7581,30,"[1, 3, 3, 3, 2, 1, 2, 3, 3, 3, 4, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Celina,2.9655,1.149,29,"[1, 3, 3, 3, 4, 1, 1, 3, 4, 3, 4, 4, 3, 3, 4, 5, 2, 3, 5, 3, 4, 3, 2, 1, 3, 4, 3, 1, 3]"
Chad Ochocinco,3.3,0.9523,30,"[3, 5, 5, 4, 3, 4, 3, 3, 4, 3, 2, 4, 4, 3, 3, 1, 1, 3, 4, 4, 3, 3, 5, 4, 3, 3, 3, 3, 3, 3]"
Chantel,3.0606,0.9663,33,"[3, 2, 4, 3, 3, 5, 3, 3, 4, 3, 1, 3, 4, 4, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 4, 1, 4, 4, 4, 3, 4, 3, 3]"
Charlemagne,3.2353,1.0462,34,"[3, 4, 2, 4, 4, 4, 5, 1, 2, 3, 4, 2, 3, 4, 3, 4, 1, 4, 3, 1, 3, 4, 3, 3, 3, 4, 5, 3, 5, 4, 3, 3, 3, 3]"
Charles,2.2414,0.8724,29,"[1, 1, 3, 3, 2, 2, 1, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 2, 2, 1, 1, 3, 3, 3, 2]"
Chester,2.3793,0.9029,29,"[1, 3, 3, 3, 4, 1, 1, 3, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 1, 2, 1, 3, 3, 2, 2, 3]"
China,3.2,0.6644,30,"[5, 3, 3, 3, 2, 4, 3, 3, 4, 3, 4, 3, 3, 2, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 2, 3, 3]"
Chloe,2.8621,0.8752,29,"[3, 3, 3, 3, 2, 1, 1, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 2, 1, 3, 4, 2, 2, 3]"
Chris,2.7,1.0554,30,"[1, 5, 3, 2, 2, 3, 3, 1, 4, 3, 1, 3, 3, 3, 3, 4, 3, 4, 4, 3, 1, 2, 3, 3, 1, 3, 3, 3, 1, 3]"
Christina,2.7,0.9154,30,"[3, 1, 3, 4, 3, 3, 4, 3, 2, 1, 4, 3, 3, 3, 2, 4, 3, 2, 2, 4, 2, 3, 3, 3, 1, 3, 3, 1, 2, 3]"
Cialis,3.1724,1.1671,29,"[1, 3, 4, 2, 4, 4, 4, 3, 1, 3, 3, 5, 3, 3, 2, 5, 4, 3, 2, 3, 4, 4, 2, 1, 3, 5, 5, 3, 3]"
Cincinnati,2.8,0.9965,30,"[3, 2, 3, 4, 2, 1, 4, 3, 3, 2, 3, 3, 4, 3, 1, 1, 5, 3, 2, 3, 3, 1, 3, 3, 3, 4, 3, 3, 2, 4]"
Cindy,2.7,1.0222,30,"[1, 3, 3, 3, 1, 3, 3, 5, 3, 3, 1, 2, 3, 3, 3, 4, 3, 3, 4, 3, 1, 2, 3, 3, 1, 3, 3, 4, 1, 3]"
Clark Gable,3.7,0.8367,30,"[3, 3, 5, 4, 3, 4, 3, 3, 3, 5, 5, 4, 5, 3, 4, 3, 2, 4, 3, 3, 3, 4, 4, 3, 3, 4, 5, 4, 4, 5]"
Claudia,2.6,0.855,30,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 1, 4, 3, 3, 3, 2, 2, 3, 1, 2, 3, 3, 3, 3, 3, 1, 1, 3, 1, 2, 3]"
Cleopatra,3.7931,1.0135,29,"[2, 5, 2, 4, 4, 2, 2, 4, 3, 4, 3, 4, 5, 5, 3, 4, 4, 4, 4, 3, 5, 4, 3, 5, 5, 4, 5, 3, 5]"
Codeine,2.9697,1.3803,33,"[5, 3, 1, 4, 1, 4, 3, 1, 2, 3, 2, 3, 4, 4, 5, 1, 5, 3, 4, 4, 1, 2, 1, 1, 4, 5, 2, 5, 3, 3, 3, 4, 2]"
