unit,mean,std,n,individual_ratings
FRY,4.8621,0.5158,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
FUHRER,3.0667,1.5742,30,"[3, 4, 3, 5, 1, 4, 4, 1, 1, 1, 5, 5, 5, 1, 5, 3, 5, 2, 4, 1, 2, 5, 4, 5, 3, 1, 3, 3, 2, 1]"
FURLONG,3.1667,1.1472,30,"[3, 5, 2, 4, 3, 4, 1, 3, 5, 2, 5, 5, 3, 2, 5, 4, 2, 2, 3, 3, 2, 5, 3, 2, 2, 3, 3, 3, 3, 3]"
GALLUP,3.5333,1.432,30,"[5, 5, 4, 4, 5, 3, 5, 1, 5, 3, 5, 5, 4, 1, 1, 5, 3, 3, 4, 5, 2, 5, 3, 3, 2, 1, 3, 4, 2, 5]"
GARBLED,4.0345,1.2951,29,"[5, 5, 3, 3, 5, 5, 1, 5, 3, 5, 5, 5, 5, 1, 5, 3, 2, 4, 5, 4, 5, 5, 5, 3, 5, 4, 4, 2, 5]"
GEOGRAPHIC,4.7333,0.6915,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 5, 2, 5]"
GIBSON,3.7,1.236,30,"[5, 5, 1, 5, 4, 5, 5, 4, 5, 2, 5, 5, 3, 5, 5, 4, 4, 3, 3, 4, 2, 4, 3, 3, 2, 2, 3, 3, 2, 5]"
GIST,4.3333,0.8841,30,"[4, 3, 4, 3, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 3, 4, 2, 5]"
GLOATING,4.4,1.0372,30,"[4, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 2, 3, 5, 5, 5, 5, 5, 5, 3, 5, 2, 4, 3, 5]"
GONZO,3.2,1.5403,30,"[5, 2, 4, 2, 3, 2, 5, 1, 5, 1, 5, 5, 5, 5, 5, 1, 4, 4, 4, 5, 1, 4, 3, 3, 1, 1, 2, 3, 2, 3]"
HAFNIUM,1.4,0.6747,30,"[2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1]"
HALT,4.6333,0.8899,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 2, 4, 3, 5]"
HASAN,1.7333,0.9803,30,"[2, 3, 1, 2, 5, 2, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1]"
HAT,4.9333,0.2537,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
HAZELNUT,4.7333,0.6915,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 3, 5]"
HEADQUARTERS,4.6552,0.7689,29,"[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5]"
HERCULES,4.5,0.7768,30,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 4, 5, 5, 4, 3, 5, 3, 4, 3, 5]"
HERETICS,3.8333,1.3153,30,"[3, 5, 3, 5, 4, 5, 4, 1, 5, 1, 5, 5, 4, 5, 5, 5, 3, 5, 3, 5, 3, 5, 3, 5, 3, 4, 2, 2, 2, 5]"
HERSHEY,4.7667,0.4302,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 5]"
HINGES,4.4286,1.0338,28,"[4, 5, 5, 4, 5, 4, 5, 3, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 2, 5]"
HOLD,4.7586,0.6356,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5]"
HOPPY,3.3,1.6432,30,"[5, 5, 5, 4, 1, 5, 5, 1, 5, 1, 5, 5, 3, 1, 1, 3, 4, 4, 4, 5, 4, 5, 2, 1, 3, 2, 2, 1, 2, 5]"
HOTSHOT,4.6,0.8137,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 3, 5, 3, 4, 3, 5]"
ICKY,4.5,0.9002,30,"[5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 2, 5, 3, 3, 3, 5]"
ILLINOIS,4.6667,0.8023,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 2, 5, 3, 5]"
IMPERATIVE,4.6,0.8137,30,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 4, 2, 5]"
INDIVIDUALS,4.8,0.5509,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 5]"
INHIBITIONS,4.6333,0.6687,30,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 4, 3, 5]"
INSCRIPTION,4.6667,0.6609,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 3, 5, 3, 5, 3, 5]"
INSPIRED,4.75,0.5853,28,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 4, 5]"
