word,mean,std,n
affordable,5.971,1.071,34
afraid,6.094,1.259,32
after,5.781,1.452,32
afterlife,4.939,1.556,33
age,6.4,1.02,35
aged,5.485,1.598,33
agent,4.95,1.755,60
aggression,4.815,1.467,27
aggressive,5.533,1.31,30
agile,4.273,1.797,33
agility,4.781,1.866,32
agony,5.29,1.59,31
agree,6.781,0.483,32
agreement,5.906,1.234,32
aid,5.6,1.281,30
aim,5.909,1.111,33
aim (objective),6.03,1.029,33
aim (target),5.97,0.969,33
air,6.182,1.302,22
airplane,6.294,1.151,34
airport,5.63,1.788,27
aisle,4.867,1.455,30
albatross,2.879,1.847,66
album,5.692,1.435,26
alcohol,6.242,1.349,33
alcoholic,6.0,1.477,33
alert,5.231,1.31,26
algebra,5.4,1.744,30
alien,5.03,1.8,33
alimony,2.788,1.903,33
alive,5.906,1.182,32
all,6.645,1.123,31
allergy,5.333,1.385,33
alley,5.0,1.503,31
alligator,5.267,1.948,30
allow,6.129,0.942,31
allowed,6.2,0.709,35
allure,3.5,1.719,34
aloft,3.03,1.749,33
alone,6.03,1.267,33
aloof,3.382,1.766,34
aloud,5.484,1.074,31
altar,3.828,1.763,29
alter,4.571,1.45,28
altitude,4.813,1.776,32
amateur,5.029,1.699,35
amaze,5.882,1.255,34
amazing,6.344,1.019,32
ambassador,4.345,1.603,29
amber,4.724,1.779,29
ambition,5.849,1.459,33
ambulance,6.515,0.892,33
ammunition,5.03,1.8,33
amount,6.485,0.657,33
amphibian,4.032,1.576,31
amplifier,4.214,1.634,28
amplify,4.871,1.497,31
amputate,4.206,1.937,34
amuse,5.879,1.094,33
amusement,5.794,1.183,34
amusing,6.125,0.927,32
analogue,3.588,1.972,34
analyst,4.344,1.978,32
anchor,5.242,1.596,33
ancient,5.071,1.486,28
anecdote,4.343,1.706,35
angel,5.781,1.556,32
anger,6.235,0.877,34
angle,5.207,1.27,29
angry,6.516,0.911,31
anguish,3.735,1.82,34
animal,6.333,0.83,30
animals,6.613,0.605,31
animosity,3.613,1.808,31
ankle,6.346,1.107,26
annoy,5.909,1.288,33
annoyance,5.794,1.324,34
annoying,6.424,0.954,33
answer,6.344,0.956,32
ant,5.546,1.458,33
anteater,3.471,1.851,34
antelope,4.059,1.798,34
anthem,5.129,1.56,31
anthropology,3.143,1.988,35
anticipation,5.182,1.641,33
anus,4.636,1.856,33
anxiety,5.588,1.536,34
anxious,6.0,1.557,33
apathy,3.656,2.071,32
ape,5.546,1.777,33
apex,3.121,1.855,33
apologize,6.29,0.957,31
apology,5.939,1.229,33
appalling,5.091,1.602,33
appear,5.667,1.164,30
appearance,5.552,1.101,29
appeared,5.643,1.342,28
applause,6.03,0.937,33
apple,6.719,0.572,32
Apple (brand),6.529,0.915,34
apple (fruit),6.613,0.656,31
appliance,5.618,1.435,34
applied,5.069,1.507,29
apply,5.824,1.042,34
appoint,4.636,1.806,33
appointment,5.697,1.243,33
appreciate,6.281,1.152,32
approval,5.941,1.11,34
approve,5.719,1.256,32
apricot,5.677,1.634,31
apron,4.615,1.734,26
aptitude,4.03,1.586,33
arch,4.296,1.739,27
archaeology,4.485,1.777,33
archer,4.125,1.691,32
archery,4.344,1.881,32
architect,5.343,1.672,35
archive,4.4,1.694,35
argue,6.161,0.987,31
argument,6.419,1.212,31
arise,4.257,1.499,35
aristocracy,3.941,1.909,34
aristocratic,3.909,2.05,33
arm,6.546,1.047,33
arm (limb),6.849,0.435,33
arm (weapon),4.5,1.601,32
armadillo,4.647,2.168,34
armed,4.754,1.596,61
armour,4.719,1.94,32
armoury,3.324,1.71,34
arms,6.469,0.866,32
arms (limbs),6.818,0.575,33
arms (weapons),4.788,1.855,33
army,5.417,1.563,60
aroma,4.706,1.791,34
arouse,5.037,1.527,27
aroused,5.758,1.393,33
array,4.179,1.833,28
arrest,5.576,1.615,33
arrested,5.781,1.408,32
arrive,6.063,0.998,32
arrogant,6.0,1.211,30
arrow,5.229,1.822,35
arrows,4.938,1.903,32
arse,6.161,1.139,31
arsehole,5.971,1.317,34
arson,4.286,1.98,35
art,6.364,1.123,33
artist,5.879,1.365,33
arts,6.088,1.067,34
ascend,5.029,1.654,34
ascent,4.371,1.806,35
ashamed,5.531,1.658,32
ashes,4.943,1.672,35
aspect,4.906,1.608,32
aspirin,6.0,1.09,32
ass,5.4,1.66,35
ass (donkey),5.0,1.969,32
ass (insult),4.656,1.962,32
assassin,4.879,1.95,33
assassinate,4.546,1.437,33
assault,5.344,1.688,32
asshole,5.735,1.54,34
assist,5.455,1.395,33
