word,mean,std,n
caviar,3.313,0.768,32
cavity,4.265,0.609,34
cease,4.394,1.013,33
ceiling,3.941,1.162,34
celebrate,3.455,1.305,33
celebration,3.441,1.034,34
celebrity,3.03,0.969,33
celery,3.235,1.059,34
cell,4.471,1.007,34
cell (biological),3.886,0.919,35
cell (jail),5.412,0.911,34
cellar,4.5,0.849,34
cello,3.364,1.01,33
cells,4.222,0.875,27
cement,5.588,1.032,34
cemetery,4.429,1.077,35
cervix,1.424,0.854,33
chain,4.457,1.203,35
chair,4.412,0.974,34
chair (head),4.813,1.261,32
chair (seat),3.97,0.627,33
chalice,3.867,1.565,30
chalk,3.692,0.606,26
chameleon,4.156,1.202,32
champion,5.471,1.007,34
chance,3.471,0.737,34
chandelier,2.788,1.174,33
change,3.6,0.869,35
change (coins),4.0,1.057,34
change (transform),3.543,0.905,35
chaos,4.853,1.167,34
chaotic,4.543,1.295,35
chapel,3.563,0.933,32
charge,5.086,1.052,35
charge (card),4.323,0.996,31
charge (dependent),4.355,1.259,31
charge (electric),4.727,1.108,33
charge (price),4.853,0.944,34
charge (rush),5.031,1.287,32
charity,2.857,0.761,35
charlatan,4.393,1.589,28
charm,3.657,2.013,35
charm (lucky),3.294,1.249,34
charm (social allure),4.029,2.036,34
charming,5.059,1.514,34
chasm,4.444,1.165,27
chauffeur,5.629,1.244,35
cheap,4.097,0.995,31
check,4.057,0.583,35
cheek,3.3,1.038,30
cheer,3.086,1.204,35
cheer (happiness),3.147,1.141,34
cheer (support),2.813,1.356,32
cheerful,3.143,1.073,35
cheers,4.853,1.24,34
cheese,4.032,0.538,31
cheetah,3.879,1.32,33
chef,5.657,1.094,35
chemist,4.389,1.42,36
chemistry,4.424,1.303,33
chemistry (rapport),3.697,1.291,33
chemistry (science),4.824,1.224,34
cheque,4.121,1.094,33
cherry,2.412,0.943,34
chess,4.882,0.9,34
chest,3.844,1.46,32
chest (cabinet),4.121,1.148,33
chest (torso),4.941,1.608,34
chestnut,4.088,0.887,34
chew,4.182,0.575,33
chewy,4.148,0.59,27
chief,5.857,1.073,35
chihuahua,2.688,1.074,32
child,3.032,1.177,31
children,2.903,1.058,31
chime,3.364,1.202,33
chimpanzee,4.567,0.955,30
chin,4.667,1.005,33
chip,4.657,0.955,35
chipmunk,4.118,1.105,34
chips,4.438,0.827,32
chisel,5.097,0.893,31
chocolate,2.343,1.013,35
choir,3.121,1.343,33
choke,4.433,0.668,30
choked,4.771,1.149,35
choose,3.824,0.821,34
choral,2.933,1.124,30
chord,3.875,1.053,32
chose,3.853,0.601,34
Christmas,3.771,0.897,35
chubby,4.514,1.18,35
chunk,4.853,1.061,34
church,4.194,1.176,31
chute,4.031,1.015,32
cigar,6.0,0.831,29
cigarette,4.533,1.408,30
cinema,3.686,0.622,35
circle,3.862,0.571,29
