word,mean,std,n
bust (breasts),6.647,0.636,34
bust (sculpture),5.419,1.54,31
busy,4.091,1.848,33
busybody,4.807,1.749,31
butcher,6.429,0.728,35
butler,6.147,1.286,34
butt,6.125,0.857,32
butter,6.483,0.815,29
butterfly,6.765,0.644,34
button,6.647,0.636,34
buy,4.171,1.748,35
buzzard,5.759,1.59,29
cabin,6.281,0.976,32
cabinet,6.457,1.024,35
cabinet (closet),6.357,1.288,28
cabinet (council),4.515,1.48,33
cacti,6.471,0.977,34
cactus,6.771,0.483,35
cafe,6.394,1.013,33
cake,6.686,0.574,35
cakes,6.885,0.32,26
calcium,3.829,2.063,35
calculus,4.313,1.758,32
calendar,6.4,1.151,35
calf,6.382,0.94,34
calf (cow),6.625,0.696,32
calf (muscle),6.147,1.375,34
call,4.576,1.615,33
call (shout),4.576,1.688,33
call (telephone),4.886,1.879,35
call (visit),4.152,1.438,33
calm,4.371,1.514,35
camel,6.633,0.875,30
camera,6.727,0.509,33
camouflage,6.029,1.098,34
camp,4.971,1.654,34
camp (effeminate),4.839,1.608,31
camp (tents),6.406,1.169,32
camper,6.0,0.926,35
campus,5.5,1.17,34
canal,6.265,0.851,34
cancer,4.333,2.04,33
candidate,4.313,1.509,32
candle,6.774,0.418,31
candy,6.647,0.588,34
candyfloss,6.559,0.881,34
cane,6.529,0.652,34
cane (beat),5.424,1.596,33
cane (stick),5.882,1.43,34
cane (sugar),5.882,0.993,34
cannon,6.4,0.8,30
canoe,6.758,0.552,33
canyon,6.364,0.948,33
cap,6.343,1.068,35
cap (hat),6.657,0.715,35
cap (limit),3.03,1.766,33
capable,2.914,1.481,35
capacity,2.849,1.329,33
cape,6.063,1.345,32
captivate,2.546,1.131,33
captivating,3.031,1.591,32
captive,3.839,1.505,31
capture,4.914,1.61,35
car,6.882,0.403,34
caravan,6.485,1.131,33
carbohydrate,4.647,2.042,34
carbon,4.594,2.105,32
carcass,5.531,1.639,32
card,6.067,1.031,30
care,3.212,1.572,33
career,4.0,1.894,34
careful,3.0,1.0,32
caress,4.061,1.556,33
carnival,6.429,0.728,35
carol,4.727,1.675,33
carp,5.448,2.027,29
carpenter,5.912,1.121,34
carpet,6.343,0.955,35
carriage,6.387,0.939,31
carrot,6.941,0.235,34
carry,4.735,1.596,34
carve,4.97,1.586,33
case,5.403,1.603,67
case (container),5.909,1.422,33
case (instance),2.912,1.652,34
case (legal),4.121,1.701,33
cash,6.324,1.049,34
cashier,6.265,1.038,34
casino,6.719,0.572,32
cast,4.314,1.848,35
cast (actors),5.412,1.611,34
cast (plaster bandage),6.571,0.803,35
cast (throw),4.727,1.847,33
castle,6.759,0.567,29
casual,3.286,1.733,35
casualty,4.714,1.814,35
cat,6.774,0.705,31
catapult,6.194,0.858,31
catastrophe,4.971,1.949,35
catch,4.438,1.456,32
catch (a ball),5.941,1.083,34
catch (drawback),2.613,1.452,31
catch (restraint),4.303,1.566,33
catch (romantic),3.903,1.784,31
caterpillar,6.879,0.326,33
cathedral,6.457,1.078,35
cattle,6.212,1.174,33
caught,4.4,1.642,35
cauliflower,6.618,1.112,34
caution,3.441,1.718,34
cautious,3.471,1.44,34
cave,6.382,1.164,34
caviar,5.774,1.313,31
cavity,5.147,1.849,34
cease,2.719,1.441,32
ceiling,6.147,1.216,34
celebrate,5.281,1.526,32
celebration,5.914,0.874,35
celebrity,5.645,1.381,31
celery,6.647,0.904,34
cell,5.735,1.146,34
cell (biological),5.0,1.789,35
cell (jail),6.412,1.191,34
cellar,6.242,0.818,33
cello,6.529,0.947,34
cells,4.903,1.422,31
cement,6.543,0.731,35
cemetery,6.629,0.721,35
cervix,5.455,1.395,33
chain,6.314,1.09,35
chair,6.6,0.901,35
chair (head),3.903,1.907,31
chair (seat),6.657,0.955,35
chalice,5.581,1.88,31
chalk,6.517,0.623,29
chameleon,6.29,1.349,31
champion,5.706,1.525,34
chance,2.636,1.63,33
chandelier,6.546,1.047,33
change,2.824,1.617,34
change (coins),6.303,1.087,33
change (transform),4.2,1.47,35
chaos,4.788,1.701,33
chaotic,4.618,1.681,34
chapel,6.324,0.898,34
charge,3.576,1.596,33
charge (card),4.226,2.043,31
charge (dependent),2.97,1.817,33
charge (electric),3.849,1.811,33
charge (price),4.03,1.642,33
charge (rush),4.767,1.585,30
charity,4.029,1.363,35
charlatan,3.552,1.976,29
charm,4.212,2.071,33
charm (lucky),4.853,1.517,34
charm (social allure),3.571,1.761,35
charming,4.147,1.629,34
chasm,4.115,1.695,26
chauffeur,6.364,0.731,33
cheap,3.147,1.517,34
check,3.6,1.607,35
cheek,6.156,1.093,32
cheer,5.343,1.511,35
cheer (happiness),5.229,1.375,35
cheer (support),5.03,1.507,33
