word,mean,std,n
beginning,2.912,1.067,34
behalf,4.818,1.14,33
behave,2.344,0.956,32
behaviour,3.143,1.437,35
behind,2.457,0.805,35
beige,4.294,1.34,34
belfry,6.556,0.598,18
belief,4.177,1.271,34
believe,3.188,1.044,32
bell,2.177,0.89,34
belly,2.419,1.13,31
belong,3.382,1.029,34
belt,2.75,0.707,32
bench,2.886,0.747,35
bend,2.486,0.906,35
beneficial,5.371,1.197,35
benefit,4.765,1.031,34
bereavement,6.182,0.999,33
berry,2.486,0.77,35
best,2.571,1.226,35
betray,5.118,1.301,34
betrayal,5.314,0.949,35
beverage,5.222,1.293,36
beware,3.515,1.158,33
bicycle,2.382,0.768,34
bid,4.943,1.264,35
bigot,6.235,1.059,34
bike,2.343,0.86,35
billion,4.324,1.322,34
binder,4.936,1.318,31
biology,4.647,0.997,34
bird,2.097,1.254,31
birth,2.853,1.167,34
birthday,1.677,0.83,34
biscuit,2.086,1.204,35
bishop,4.5,1.346,32
bison,5.536,1.401,28
bit,1.909,0.9,33
bit (bite),2.581,1.602,31
bit (horse bridal),5.154,1.634,26
bit (small amount),2.0,0.926,35
bitch,5.588,1.088,34
bitchy,6.088,0.981,34
bitter,4.412,1.353,34
bizarre,5.063,0.966,32
black,2.086,1.18,35
blackmail,5.382,1.261,34
blacksmith,4.788,1.343,33
blade,4.371,1.197,35
blame,3.286,1.185,35
bland,4.839,1.273,31
blank,3.2,1.009,35
blasphemy,6.242,0.922,33
blaze,4.086,1.156,35
blazes,4.742,1.106,31
bleak,5.294,1.446,34
blend,4.242,1.181,33
blender,4.688,1.236,32
bless,3.531,1.601,32
blessed,4.2,1.116,35
blessing,4.25,1.46,36
blessings,4.03,1.403,33
blimp,5.094,1.259,32
blind,3.257,0.905,35
bliss,5.121,1.249,33
blister,3.8,1.26,35
block,3.118,1.207,34
bloke,4.657,1.372,35
blond,2.909,1.311,33
blonde,2.909,1.401,33
blood,2.412,1.032,34
bloody,3.714,1.385,35
bloom,4.152,1.209,33
blossom,4.257,1.179,35
blouse,3.912,1.579,34
blow,2.546,0.891,33
blow (hit),4.419,1.454,31
blow (wind),2.429,0.838,35
blubber,4.171,1.159,35
blubber (cry),4.059,1.644,34
blubber (fat),4.882,1.231,34
blue,1.882,0.963,34
blueberry,3.382,1.394,34
bluff,5.029,1.108,35
blunder,5.118,1.323,34
blunt,4.606,1.254,33
board,3.257,0.966,35
board (enter),4.563,1.456,32
board (executive),5.636,1.202,33
board (wooden),2.971,0.971,35
boarded,5.382,1.329,34
boast,4.686,1.063,35
boastful,5.0,1.069,35
boat,2.182,1.014,66
body,2.061,0.694,33
boil,3.382,1.029,34
boiler,4.6,1.269,35
bold,4.0,1.188,34
bollocks,6.143,0.96,35
bomb,3.971,1.295,34
bomber,4.813,1.13,32
bond,4.265,1.335,34
bondage,6.576,0.818,33
bonds,5.143,1.552,35
bonds (money),6.057,1.04,35
bonds (restraints),5.618,1.085,34
bone,2.485,0.821,33
bones,2.714,0.943,35
bongo,4.6,1.458,35
bonnet,4.515,1.708,33
bonus,4.088,1.147,34
book,1.909,0.793,33
book (read),2.031,0.77,32
book (reserve),4.086,1.273,35
bookcase,3.088,0.818,34
boom,2.412,1.24,34
boost,4.233,1.086,30
boot,2.469,0.935,32
boot (car),3.412,1.216,34
boot (evict),5.441,1.499,34
boot (shoe),2.543,1.051,35
bored,2.706,0.892,34
boredom,3.571,1.154,35
boring,2.829,1.298,35
born,2.469,0.968,32
borrow,3.455,1.047,33
bosom,5.441,1.333,34
boss,4.029,1.63,35
botanist,6.276,0.783,29
botany,6.061,1.127,33
bother,4.028,1.462,36
bottle,2.125,0.927,32
bottom,2.0,0.739,33
bought,2.971,0.923,34
boulder,3.857,1.15,35
bounce,2.364,1.01,33
bouncy,2.343,1.17,35
bound,5.212,1.343,33
bouquet,4.514,1.296,35
bout,5.645,1.381,31
bow,2.912,1.337,34
bow (bend),3.882,1.623,34
bow (ribbon),2.515,0.783,33
bow (ship),4.438,1.321,32
bow (weapon),3.882,1.301,34
bowel,5.441,1.168,34
bowl,2.059,0.968,34
box,2.0,1.32,31
box (container),1.857,0.639,35
box (sport),4.057,1.241,35
boxer,3.588,1.375,34
boxer (dog),4.529,1.311,34
boxer (fighter),4.4,1.335,35
boxing,3.824,1.175,34
boy,1.424,0.552,33
boycott,5.941,1.211,34
bra,4.657,1.351,35
bracelet,2.971,0.971,35
bracket,4.606,1.127,33
brain,2.936,1.045,31
brainy,3.906,1.071,32
brake,3.486,1.204,35
brand,4.788,1.2,33
brass,4.531,1.25,32
brasserie,6.364,0.771,33
brassiere,5.97,1.114,33
brave,3.0,1.373,35
bravery,3.588,1.115,34
brazen,6.031,0.918,32
breach,5.857,1.15,35
bread,2.125,0.893,32
break,2.303,0.674,33
break (destroy),2.273,0.862,33
break (luck),4.97,1.467,33
break (rest),2.824,0.89,34
breakfast,1.771,0.636,35
breast,4.324,1.429,34
breasts,4.229,1.311,35
